Date,Currency,Balance,Unconfirmed:,Total mined:,Value USD,Value BTC,Status,Coin Price
2017-08-25,Ethereum,0.0084142358,0,0.0084142358,2.42930768,0.00061913,OFF LINE,289.710173
2017-08-25,Aeon Coin,,,,,,,
2017-08-25,Ethereum Classic,,,,,,,
2017-08-25,Bitcoin,,,,,,,
,,,,,,,,
2017-08-27,Monero,0.0464744126,0.002850864,0.0493252766,4.64427636,0.00110894,ON LINE,$100.81
2017-08-27,FantomCoin,0,0.4709831901,0.4708966884,0,0,ON LINE,0.11124159
2017-08-27,Bytecoin,1671.17621594,18.44323835,1689.61945429,2.46058973,0.00058491,ON LINE,0.0014618
2017-08-27,DigitalNote,1.00026798,0.78363814,1.78390612,0.00230205,0.00000055,OFF LINE,0.0024239
2017-08-27,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-27,Ethereum,0.0084142358,0,0.0084142358,2.56541636,0.00061279,OFF LINE,306.682519
2017-08-27,Aeon Coin,,,,,,,
2017-08-27,Ethereum Classic,,,,,,,
2017-08-27,Bitcoin,,,,,,,
,,,,,,,,
2017-08-28,Monero,0.0464744126,0.0039533077,0.0504277203,4.53621405,0.00107807,ON LINE,$98.62
2017-08-28,FantomCoin,0,0.4782609098,0.4781824224,0,0,ON LINE,0.12833552
2017-08-28,Bytecoin,1879.54424421,11.71043425,1891.25467846,2.6863762,0.00063905,ON LINE,0.0014281
2017-08-28,DigitalNote,1.00026798,0.78363814,1.78390612,0.00232953,0.00000055,OFF LINE,0.0023091
2017-08-28,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-28,Ethereum,0.0084142358,0,0.0084142358,2.51907917,0.00059982,OFF LINE,302.080466
2017-08-28,Aeon Coin,,,,,,,
2017-08-28,Ethereum Classic,,,,,,,
2017-08-28,Bitcoin,,,,,,,
,,,,,,,,
2017-08-29,Monero,0.0514764943,0.0002083124,0.0516848067,4.84971892,0.00115852,ON LINE,$94.58
2017-08-29,FantomCoin,0,0.4872023944,0.4871268621,0,0,ON LINE,0.12043866
2017-08-29,Bytecoin,2060.99014529,10.80187225,2071.79201754,2.79966962,0.00065952,ON LINE,0.001383
2017-08-29,DigitalNote,3.01824955,0.10453543,3.12278498,0.00663867,0.00000157,ON LINE,0.0022211
2017-08-29,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-29,Ethereum,0.0084142358,0,0.0084142358,2.46845912,0.00058872,OFF LINE,302.080466
2017-08-29,Aeon Coin,,,,,,,
2017-08-29,Ethereum Classic,,,,,,,
2017-08-29,Bitcoin,,,,,,,
,,,,,,,,
2017-08-30,Monero,0.0514764943,0.0044967567,0.0559735531,4.90263161,0.00112713,ON LINE,$94.89
2017-08-30,FantomCoin,0,0.5280735509,0.5279950635,0,0,ON LINE,0.12012641
2017-08-30,Bytecoin,2060.99014529,17.90346458,2078.89360987,2.881223,0.00065952,OFF LINE,0.0014306
2017-08-30,DigitalNote,3.01824955,0.79279056,3.81104011,0.00696799,0.0000016,ON LINE,0.0023403
2017-08-30,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-30,Ethereum,0.0084142358,0,0.0084142358,2.51764033,0.00058254,OFF LINE,300.600663
2017-08-30,Aeon Coin,,,,,,,
2017-08-30,Ethereum Classic,,,,,,,
2017-08-30,Bitcoin,,,,,,,
,,,,,,,,
2017-09-01,Monero,0.0564771178,0.0042306432,0.0607077609,5.24976271,0.00118889,ON LINE,$93.26
2017-09-01,FantomCoin,0,0.569827498,0.5697490106,0,0,ON LINE,0.11815475
2017-09-01,Bytecoin,2060.99014529,17.90346458,2078.89360987,2.93101653,0.00065952,OFF LINE,0.0013715
2017-09-01,DigitalNote,4.02000354,0.63532989,4.65533343,0.00960443,0.00000217,ON LINE,0.0023449
2017-09-01,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-01,Ethereum,0.0084142358,0,0.0084142358,2.527729,0.00057169,OFF LINE,302.283961
2017-09-01,Aeon Coin,,,,,,,
2017-09-01,Ethereum Classic,,,,,,,
2017-09-01,Bitcoin,,,,,,,
,,,,,,,,
2017-09-02,Monero,0.0614774245,0.0037968277,0.0652762878,5.62616183,0.00128207,ON LINE,$91.71
2017-09-02,FantomCoin,0,0.6131174904,0.613039003,0,0,ON LINE,0.12238418
2017-09-02,Bytecoin,2060.99014529,17.90346458,2078.89360987,2.68151306,0.0006183,OFF LINE,0.0012748
2017-09-02,DigitalNote,5.02314111,0.38033493,5.40707603,0.00960443,0.00000217,ON LINE,0.0022859
2017-09-02,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-02,Ethereum,0.0084142358,0,0.0084142358,2.51222156,0.00057189,OFF LINE,299.078218
2017-09-02,Aeon Coin,,,,,,,
2017-09-02,Ethereum Classic,,,,,,,
2017-09-02,Bitcoin,,,,,,,
,,,,,,,,
2017-09-03,Monero,0.066477464,0.0012072416,0.0676847056,6.12094574,0.00142244,ON LINE,$91.92
2017-09-03,FantomCoin,0,0.6351353109,0.6350568235,0,0,ON LINE,0.11223254
2017-09-03,Bytecoin,2183.18270678,10.08085357,2193.26356035,2.74316907,0.00063312,ON LINE,0.0012499
2017-09-03,DigitalNote,6.0235815,0.1162539,6.1398354,0.01322604,0.00000307,ON LINE,0.0021114
2017-09-03,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-03,Ethereum,0.0084142358,0,0.0084142358,2.50397561,0.00058152,OFF LINE,293.362039
2017-09-03,Aeon Coin,,,,,,,
2017-09-03,Ethereum Classic,,,,,,,
2017-09-03,Bitcoin,,,,,,,
,,,,,,,,
2017-09-04,Monero,0.071477615,0.0009056434,0.0723854739,6.45154094,0.00152673,ON LINE,$90.24
2017-09-04,FantomCoin,0,0.6786432172,0.6785891033,0,0,ON LINE,0.11880886
2017-09-04,Bytecoin,2183.18270678,17.1002071,2200.28291388,2.7857848,0.00065495,OFF LINE,0.00126
2017-09-04,DigitalNote,6.0235815,0.91508889,6.93867039,0.0128442,0.00000301,ON LINE,0.0021158
2017-09-04,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-04,Ethereum,0.0084142358,0,0.0084142358,2.46452126,0.00058269,OFF LINE,292.551371
2017-09-04,Aeon Coin,,,,,,,
2017-09-04,Ethereum Classic,,,,,,,
2017-09-04,Bitcoin,,,,,,,
,,,,,,,,
2017-09-05,Monero,0.071477615,0.0023609544,0.0738387116,6.54327531,0.00151641,ON LINE,$92.08
2017-09-05,FantomCoin,0,0.6900773638,0.6899988764,0,0,ON LINE,0.12059751
2017-09-05,Bytecoin,2183.18270678,17.1002071,2200.28291388,2.75303706,0.00063312,OFF LINE,0.0012542
2017-09-05,DigitalNote,7.02696493,0.75678838,7.78375331,0.01414022,0.0000033,ON LINE,0.0019999
2017-09-05,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-05,Ethereum Classic,0.0138209896,0.0138209896,,0.16529074,0.00003831,ON LINE,12.2027798
2017-09-05,Ethereum,0.0084142358,0,0.0084142358,2.46452126,0.00058269,OFF LINE,296.657883
2017-09-05,Aeon Coin,,,,,,,
2017-09-05,Ethereum Classic,,,,,,,
2017-09-05,Bitcoin,,,,,,,
,,,,,,,,
2017-09-06,Monero,0.071477615,0.0036576164,0.0751352315,6.51740042,0.00149075,ON LINE,$91.23
2017-09-06,FantomCoin,0,0.6975857579,0.6975072705,0,0,ON LINE,0.11310784
2017-09-06,Bytecoin,2223.23996678,16.48523245,2239.72519923,2.93060823,0.00066697,OFF LINE,0.0013107
2017-09-06,DigitalNote,8.02919145,0.81121724,8.84040869,0.0162991,0.00000369,ON LINE,0.0020103
2017-09-06,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-06,Ethereum Classic,0.0194632221,0,0.0194632221,0.16529074,0.00003831,OFF LINE,12.2582513
2017-09-06,Ethereum,0.0084142358,0,0.0084142358,2.63219174,0.00060232,ON LINE,313.602721
2017-09-06,Aeon Coin,,,,,,,
2017-09-06,Ethereum Classic,,,,,,,
2017-09-06,Bitcoin,,,,,,,
,,,,,,,,
2017-09-07,Monero,0.071477615,0.0037141951,0.0751918101,6.55227434,0.00147167,OFF LINE,$91.47
2017-09-07,FantomCoin,0,0.6983953247,0.6983168373,0,0,OFF LINE,0.12316154
2017-09-07,Bytecoin,2426.3013831,3.22839669,2429.82006252,3.15006709,0.00070363,ON LINE,0.0012865
2017-09-07,DigitalNote,8.02919145,0.85416473,8.88335618,0.01669197,0.00000377,OFF LINE,0.0020401
2017-09-07,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-07,Aeon Coin,0.1142276251,0.0041017993,0.1183294244,0.27616242,0.00006213,ON LINE,2.415043
2017-09-07,Ethereum Classic,0.0194632221,0,0.0194632221,0.23873394,0.00005375,OFF LINE,12.335586
2017-09-07,Ethereum,0.0089236972,0,0.0089236972,2.77791125,0.00062497,OFF LINE,311.941136
2017-09-07,Bitcoin,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2017-09-08,Monero,0.071477615,0.0037141951,0.0751918101,6.35286609,0.00138305,OFF LINE,$88.85
2017-09-08,FantomCoin,0,0.6984132999,0.6983348125,0,0,OFF LINE,0.10498028
2017-09-08,Bytecoin,2608.27555031,6.39379785,2615.22556366,3.36292792,0.00073032,ON LINE,0.0012828
2017-09-08,DigitalNote,8.02919145,0.85416473,8.88335618,0.01505594,0.00000329,OFF LINE,0.0017522
2017-09-08,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-09-08,Aeon Coin,0.2976272887,0,0.2976272887,0.56218521,0.00012238,ON LINE,1.8946898
2017-09-08,Ethereum Classic,0.0194632221,0,0.0194632221,0.23546606,0.00005126,OFF LINE,12.1260785
2017-09-08,Ethereum,0.0089236972,0,0.0089236972,2.73927164,0.00059632,OFF LINE,307.458506
2017-09-08,Bitcoin,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2017-09-09,Monero,0.071477615,0.0037166222,0.0751942372,6.10167231,0.00125628,OFF LINE,$85.16
2017-09-09,FantomCoin,0,0.6984141811,0.6983356937,0,0,OFF LINE,0.09617194
2017-09-09,Bytecoin,2810.35046437,3.4123602,2813.76282457,3.80513022,0.0007869,ON LINE,0.0013542
2017-09-09,DigitalNote,8.02919145,0.85416473,8.88335618,0.01505594,0.00000329,OFF LINE,0.0015505
2017-09-09,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
